Time,rpm,OD,CarbonContents,Ethanol,Acetoin,BDO,Succinate,Lactate,Formate,Acetate,Feed,delta_t
0,550,1.28,60.02471,0,0,0.0559224,0,1.78023,0.236543,0.123936,0,2
2,550,1.5,60.16817,0.0918,0.0341864,0.1228596,0,1.79307,0.330181,0.247821,0,2
4,550,4.14,59.36818,0.1836,0.236755,0.633566,0,1.71045,0.320634,0.636318,0,2
6,550,10.52,57.76522,0.2754,0.273111,0.7893511,0,1.32983,0.284305,0.704051,0,2
8,550,22.2,50.26609,0.3672,1.29171,0.3241408,0,0.985392,0.20637,0.103544,0,2
10,550,29.8,40.72698,0.5726408,2.05497,0.6282513,0,0.288254,0.303594,0.949836,0,2
12,550,33.9,27.05109,0.92432192,2.56798,1.223091,0,0.0859533,0.461476,1.08339,0,2
14,550,41.3,13.67939,1.42737332,5.11922,14.508695,0,0.0327053,0.478793,1.17835,21.68111333,2
16,550,38.4,33.67368,1.38443712,7.4507,2.266396,0,0.0322667,0.561781,1.22552,0,2
18,550,38.5,22.62301,1.57781524,9.56488,2.857577,0,0.0254845,0.415137,1.27896,0,2
20,550,45.4,11.46225,1.68340208,11.74655,26.326519,0,0.0638687,0.557398,1.17222,21.68111333,2
22,550,44,30.95208,1.73637016,12.33363,30.89285,0,0.102836,0.503203,1.2951,0,2
24,550,44.5,23.66449,1.89644648,12.83776,35.74243,0,0.0943673,0.632699,1.63393,21.68111333,2
26,550,42.4,43.59166,2.14725092,10.27087,42.37407,0,0.109301,0.611269,1.96533,0,2
28,550,41.9,38.47998,2.33390692,10.26898,48.1323,0,0.0889003,0.615771,2.25257,0,2
30,550,41.5,32.37811,2.56650572,10.46382,52.43054,0,0.0853214,0.650511,2.35997,0,2
32,550,41.7,26.06661,2.64911648,10.77772,54.54015,0,0.0898441,0.605876,2.46519,0,2
34,550,43.8,21.11002,2.85576276,11.89596,58.00047,0,0.077527,0.669637,2.68527,0,2
36,550,42.3,16.68981,2.93773944,13.35796,64.07758,0,0.0833922,0.751513,3.2266,21.68111333,2
38,550,40.4,42.42679,2.9747686,14.1722,64.48555,0,0.0881543,0.709964,3.14208,0,2
40,450,35.9,38.69806,3.17045816,12.61989,70.07348,0,0.107319,0.732706,3.50389,0,2
42,350,36.9,34.14631,2.6707278,9.8089,74.9594,0,0.107889,0.780994,3.6871,0,2
44,350,37.4,29.54387,3.19222072,8.07177,80.20576,0,0.0995156,0.771173,3.7606,0,2
46,350,39.7,25.98909,3.38316744,7.77856,83.39609,0,0.108467,0.763732,3.93378,0,2
48,350,35.9,23.27194,3.49598352,7.83027,86.27806,0,0.0989311,0.762484,4.03728,0,2
50,350,33.4,19.87017,3.6554766,7.76246,90.18391,0,0.0970814,0.721551,4.40659,0,2
52,350,33.2,17.04645,3.66681632,8.57431,90.97149,0,0.0881514,0.810975,4.56065,0,2
54,350,33.6,14.56541,3.81055516,9.66891,91.87942,0,0.0861898,0.747578,4.70512,21.68111333,2
56,350,32.2,41.74059,3.84616224,9.55317,92.66212,0,0.216799,0.829931,4.83894,0,4
60,350,33.5,41.21663,4.05299848,12.96138,90.90643,0,0.490946,0.990078,5.04359,0,4
